id,name,nickname,description,code,alphaVal,numVal,acro,cat,subcat,hits180,canConnect,hasFullTwist,isDoubleSalto,isAerial,receivesCreditOnce
31,Straddle jump 3/2,,Straddle pike or side split jump with 1 1/2 turn (540 deg),1.407,D,4,0,Jumps,,1,1,0,0,0,1
32,Split jump 3/2,,Split Jump with 1 1/2 turn (540 deg),1.407,D,4,0,Jumps,,1,1,0,0,0,1
33,Straddle jump to land,,Straddle pike (both legs above horizontal); or side split jump landing in front lying support,1.108,A,1,0,Jumps,,1,0,0,0,0,1
34,Straddle jump 1/2 to land,,Straddle pike (both legs above horizontal) jump with 1/2 turn (90 deg) landing in front lying support,1.108,A,1,0,Jumps,,1,0,0,0,0,1
35,Hop 1/1 to land,,Hop with 1/1 turn (360 deg) to straddle and land in front lying support,1.108,A,1,0,Hops,,0,0,0,0,0,1
36,Straddle jump 1/1 to land,,Straddle pike (both legs above horizontal); or side split jump with 1/1 turn (360 deg) landing in front lying support,1.208,B,2,0,Jumps,,1,0,0,0,0,1
37,Hop 3/2 to land,,Hop with 1 1/2 turn (540 deg) in horizontal plane to land in front lying support,1.208,B,2,0,Hops,,0,0,0,0,0,1
38,Split jump,,Split jump (leg separation 180 deg),1.109,A,1,0,Jumps,,1,1,0,0,0,1
39,Stag jump,,Stag jump,1.109,A,1,0,Jumps,,0,1,0,0,0,1
40,Stag jump 1/2,,Stag jump with 1/2 turn (180 deg),1.109,A,1,0,Jumps,,0,1,0,0,0,1
41,Sissone,,Sissone (leg separation 180 degon the diagonal/45 degto the floor) take off two feet; land on one foot,1.109,A,1,0,Jumps,,1,1,0,0,0,1
42,Ring jump,,Ring jump (rear foot at head height; body arched and head dropped bwd; 180 deg separation of legs),1.209,B,2,0,Jumps,,1,1,0,0,0,1
43,Stag ring jump,,Stag ring jump (rear foot at head height; body arched and head dropped bwd),1.209,B,2,0,Jumps,,0,1,0,0,0,1
